,frequency,vix,target_label,n_label,clip,date1,date2,date3,start_trading_time,end_trading_time,run_boruta,drop_correlated_features,epochs,long,ml_type,optimiser,lr,momentum,nesterov,hl,hu,dropout,rate,regularize,reg_l1,lags,layer,target_up,target_down,trainable_parameters,training_records,precision,accuracy,recall,gini,test_gini,test_accuracy,val_precision,val_accuracy,val_recall,train_label_freq,test_label_freq,gross_IR,gross_IR_baseline,net_IR,net_IR_baseline
10,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.005,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6906413197517395,0.6372376561164856,0.62377450466156,0.445922789308282,0.013844809037116823,0.506426735218509,0.5913246273994446,0.5260663509368897,0.5070821464061737,0.5540284360189573,0.5655526992287918,0.08,0.72,0.04,0.72
11,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.005,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5674477219581604,0.5673662900924683,0.9117647171020508,0.09006398922210201,0.08422538999462081,0.5501285347043702,0.5602218270301819,0.5535544872283935,0.9286118984222412,0.5540284360189573,0.5655526992287918,0.65,0.72,0.63,0.72
12,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.0005,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6105530142784119,0.6700067758560181,0.6804953575134277,0.53844186987304,0.010462614308768048,0.46786632390745503,0.4725708425045013,0.5352290749549866,0.6007272601127625,0.4364928909952607,0.43444730077120824,-1.44,-0.72,-1.48,-0.72
13,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.0005,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.503404724597931,0.5665538311004639,0.6489164113998414,0.3008988474698855,0.028052716514254783,0.4691516709511568,0.4621595501899719,0.5206951022148132,0.6298181772232055,0.4364928909952607,0.43444730077120824,-0.41,-0.72,-0.44,-0.72
14,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.0005,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.44595513939857484,0.4901828050613403,0.6832817435264588,0.025423055533486894,0.0009682625067239936,0.43444730077120824,0.43206520676612853,0.4344391763210297,0.9600000023841858,0.4364928909952607,0.43444730077120824,-0.7,-0.72,-0.71,-0.72
15,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.00075,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6569476366043091,0.7169939041137695,0.7390092849731446,0.6189482123957486,0.06896180742334579,0.47429305912596403,0.4814885973930359,0.5415481805801392,0.720727264881134,0.4364928909952607,0.43444730077120824,-0.71,-0.72,-0.73,-0.72
16,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.00075,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5393618106842041,0.6052809834480286,0.6699690341949462,0.42646445109851516,0.007772996234534757,0.461439588688946,0.4845466077327728,0.5462875127792358,0.6989090919494629,0.4364928909952607,0.43444730077120824,-0.65,-0.72,-0.68,-0.72
17,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.00075,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.44714797735214235,0.5049424350261689,0.5563467502593994,0.10150136658055331,0.022249865519096357,0.4665809768637532,0.4352328062057495,0.5124802470207215,0.416000010073185,0.4364928909952607,0.43444730077120824,-0.67,-0.72,-0.69,-0.72
18,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.001,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6868264675140381,0.7447528839111328,0.7674922585487366,0.6353764009391187,0.01538461538461533,0.4704370179948586,0.470197594165802,0.5336492896080017,0.576727283000946,0.4364928909952607,0.43444730077120824,-0.67,-0.72,-0.69,-0.72
19,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.001,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5887128114700317,0.6534868001937866,0.6894737005233764,0.4964801304757964,0.059830554061323316,0.4820051413881748,0.47416089177131654,0.5333333373069763,0.6654545426368713,0.4364928909952607,0.43444730077120824,-0.1,-0.72,-0.14,-0.72
20,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.001,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.43768844604492185,0.4984427809715271,0.5136222898960113,0.03164184174695839,0.016157880580957684,0.5604113110539846,0.6438638865947723,0.5387045860290527,0.20509090330451726,0.4364928909952607,0.43444730077120824,0.05,-0.72,0.0,-0.72
21,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.005,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6177479743957519,0.6854434728622436,0.7383900880813599,0.5371067941837455,0.005957504034427075,0.4524421593830334,0.4806345462799072,0.5437598586082458,0.614545464515686,0.4364928909952607,0.43444730077120824,-0.9,-0.72,-0.93,-0.72
22,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.005,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5482757091522217,0.6113744020462036,0.6408668875694274,0.37399652441992237,0.036451048951049,0.4832904884318766,0.47105035185813904,0.5418641448020936,0.44581817388534545,0.4364928909952607,0.43444730077120824,-0.76,-0.72,-0.8,-0.72
23,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.005,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5668790221214295,0.5776574015617371,0.14427244365215303,0.11421198116283082,-0.003449435180204463,0.5526992287917738,0.43416342735290525,0.5526066422462463,0.09599999971687793,0.4364928909952607,0.43444730077120824,-0.65,-0.72,-0.68,-0.72
24,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.0005,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6853968381881714,0.6752877473831177,0.7622549057006835,0.5085038667162409,0.03690155997848299,0.5616966580976864,0.5728984951972962,0.5671405911445617,0.8793201208114624,0.5540284360189573,0.5655526992287918,0.97,0.72,0.94,0.72
